team,numero,posicion,nombre,club,liga_top
South Korea,19,2DF,Kim Young-gwon,Ulsan Hyundai,False
South Korea,20,2DF,Kwon Kyung-won,Gamba Osaka,False
South Korea,21,1GK,Jo Hyeon-woo,Ulsan Hyundai,False
South Korea,22,3MF,Kwon Chang-hoon,Gimcheon Sangmu,False
South Korea,23,2DF,Kim Tae-hwan,Ulsan Hyundai,False
South Korea,24,2DF,Cho Yu-min,Daejeon Hana Citizen,False
South Korea,25,3MF,Jeong Woo-yeong,SC Freiburg,True
South Korea,26,3MF,Song Min-kyu,Jeonbuk Hyundai Motors,False
Uruguay,1,1GK,Fernando Muslera,Galatasaray,True
Uruguay,2,2DF,José Giménez,Atlético Madrid,True
Uruguay,3,2DF,Diego Godín*(captain)*,Vélez Sarsfield,False
Uruguay,4,2DF,Ronald Araújo,Barcelona,True
Uruguay,5,3MF,Matías Vecino,Lazio,True
Uruguay,6,3MF,Rodrigo Bentancur,Tottenham Hotspur,True
Uruguay,7,3MF,Nicolás de la Cruz,River Plate,False
Uruguay,8,4FW,Facundo Pellistri,Manchester United,True
Uruguay,9,4FW,Luis Suárez,Nacional,False
Uruguay,10,3MF,Giorgian de Arrascaeta,Flamengo,False
Uruguay,11,4FW,Darwin Núñez,Liverpool,True
Uruguay,12,1GK,Sebastián Sosa,Independiente,False
Uruguay,13,2DF,Guillermo Varela,Flamengo,False
Uruguay,14,3MF,Lucas Torreira,Galatasaray,True
Uruguay,15,3MF,Federico Valverde,Real Madrid,True
Uruguay,16,2DF,Mathías Olivera,Napoli,True
Uruguay,17,2DF,Matías Viña,Roma,True
Uruguay,18,4FW,Maxi Gómez,Trabzonspor,False
Uruguay,19,2DF,Sebastián Coates,Sporting CP,False
Uruguay,20,4FW,Facundo Torres,Orlando City SC,False
Uruguay,21,4FW,Edinson Cavani,Valencia,True
Uruguay,22,2DF,Martín Cáceres,LA Galaxy,False
Uruguay,23,1GK,Sergio Rochet,Nacional,False
Uruguay,24,3MF,Agustín Canobbio,Athletico Paranaense,False
Uruguay,25,3MF,Manuel Ugarte,Sporting CP,False
Uruguay,26,2DF,José Luis Rodríguez,Nacional,False
